#mpa_v30_CHOCOPhlAn_201901
#/sw/bioinfo/MetaPhlAn3/3.0.8/snowy/bin/metaphlan /proj/genomeanalysis2022/nobackup/work/claudg/DNA_trimmed_2/SRR4342129_2.paired.trimmed.fastq --input_type fastq --bowtie2db /sw/bioinfo/MetaPhlAn3/3.0.8/snowy/lib/python3.8/site-packages/metaphlan/metaphlan_databases -x mpa_v30_CHOCOPhlAn_201901 --bowtie2out /home/claudg/genome-project/analyses/6_DNA_metaphlan/SRR4342129_2.bowtie2.bz2 --nproc 5 -o /home/claudg/genome-project/analyses/6_DNA_metaphlan/SRR4342129_2.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	75.98687	
k__Archaea	2157	24.01313	
k__Bacteria|p__Cyanobacteria	2|1117	54.95066	
k__Bacteria|p__Proteobacteria	2|1224	21.03621	
k__Archaea|p__Candidatus_Heimdallarchaeota	2157|1936272	14.11016	
k__Archaea|p__Thaumarchaeota	2157|651137	9.90297	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	54.95066	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	20.66597	
k__Archaea|p__Candidatus_Heimdallarchaeota|c__Candidatus_Heimdallarchaeota_unclassified	2157|1936272|	14.11016	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	9.90297	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.25148	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.11876	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales	2|1117||1890424	54.95066	
k__Archaea|p__Candidatus_Heimdallarchaeota|c__Candidatus_Heimdallarchaeota_unclassified|o__Candidatus_Heimdallarchaeota_unclassified	2157|1936272||	14.11016	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	10.8277	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	7.80415	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified	2|1224|28211|	5.58892	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	2.72727	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	2.09882	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	1.13449	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	2|1224|28211|54526	0.38758	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.25148	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	2|1224|1236|135623	0.11876	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae	2|1117||1890424|1890426	50.83104	
k__Archaea|p__Candidatus_Heimdallarchaeota|c__Candidatus_Heimdallarchaeota_unclassified|o__Candidatus_Heimdallarchaeota_unclassified|f__Candidatus_Heimdallarchaeota_unclassified	2157|1936272|||	14.11016	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Geminicoccaceae	2|1224|28211|204441|2066434	10.8277	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae	2157|651137||31932|338190	7.80415	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified|f__Alphaproteobacteria_unclassified	2|1224|28211||	5.58892	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae	2|1117||1890424|1213	4.11961	
